Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
78,Andhra Pradesh,NH 42,Yerradoddi,KM 158.215,MUDIGUBBA TO A0NTAPUR (DT) BOARDER,5672
79,Assam,27 (old NH54E),Balachera,Km 277.300,From Km 27500 to Km 300760 ( Balachera to Silchar),5791
80,Assam,36,Daboka (Mikirati Hawgaon),Km 15.652,Nagao-Daboka-Udauli,425
81,Assam,31,Dahalapara,Km 971.200,Rakhaladobi - Kohora Section ( Km 962.200 to Km 1023.900),395
82,Assam,NH31 (New NH27),Galia,Bhawanipur,from 2 lane to 4 lane from Km 1040.300 to Km 1013.000 0lbari to Bijni section of NH31 in the state of Assam on East West Corridor under phase II programme of NHDP (Contract Package EWIIAS07),5872
83,Assam,31,Gangadhar Bridge (MoRTH),Km 841.000,Gangadhar Bridge (Km 837.00 to 837.481),330
84,Assam,37A,Kalia Bhomora Bridge (MoRTH),Km 7.100,Kalia Bhomora Bridge (Km 9.280 to 12.295 Km),326
85,Assam,NH 31,Madanpur,Km 1040.300 to Km 1119.814,Nalbari to Bijni to Guwahati,5660
86,Assam,NH 54,Manderdisa,Manderdisa District Dima Hasao,Lanka to Hatikhali,5666
87,Assam,NH 27,Mikirati Hawgaon,Mikirati hawgaon km. 33.625,0lbari Bijni Guwahati 0gaon Lanka hatikhali,5646
88,Assam,37,Nazirakhat,Km 179.600,Nagao-Daboka-Udauli,426
89,Assam,NH27 (New)NH31C (Old),Patgaon,Patgaon District Kokrajhar,Ch. 30.000 to Ch. 32.000 Km.,4627
90,Assam,37,Raha(Saragaon),Km 254.514,Nagao-Daboka-Udauli,424
91,Assam,27,Telipara,Telipara Village Ch Km 08.390,Kachugaon to Srirampur,6809
92,Bihar,57,Asanpur,Km 150.390,Phulparash - Forbesganj,294
93,Bihar,319,Babhniyawan Toll Plaza,Near Babhniyawan village at Ch. 16030 on NH319,50.030 Km,6600
94,Bihar,80,Balgudar,Km 23.500,Mokama - Munger (Km 1.43 - Km 70.00),237
95,Bihar,31,Barsoni,Km 416.000,Purnea - Dalkola (Km 410.700 - Km 447.000),284
96,Bihar,New NH 527 ( Old NH 57A ),Bhadeswar Toll Plaza,At Km. 2.850,4.LANING FORBESGANJ TO JOGBANI SECTION,6679
97,Bihar,80,Bhagalpur,Km. 137.275,124.175 to 140.850,5705
98,Bihar,NH28B,Bishunpurwa,Km 53.625 at Bishunpurwa (West Champaran Bihar),Bettiah (Km 25000) to Paniahwa (Km 64000),5683
99,Bihar,531 (Old NH85),Chainwa (Chapraitha),At Km. 34.500,Chhapra Siwan Gopalganj,5916
100,Bihar,NH 922,Dalsagar Toll Plaza,Vill Dalsagar P.S Behea Dist Buxar,Bhojpur to Buxar section from design km. 77.100 to km. 125.000 (existing km. 27.370 to km. 75.000 of NH84) of NH922 in state of Bihar.,6672
