place_id,name,formatted_address,latitude,longitude
ChIJi8WNePYruzsRPMy1liBhoDc,Electric Vehicle Charging Station,"577132, Mudigere",13.1371996,75.6424098
ChIJDzI1eIJBuzsRNrb26aMe0PY,Ather Grid Charging Station,"Hotel Sharada Comforts, Shankaracharya Circle, Sringeri, Sringeri Rural",13.428346,75.25601
ChIJxTjbAQAluzsRvXOqaEunoeo,Electric Vehicle Charging Station,"9G5M+5Q, Gorigandi",13.3578601,75.5344446
ChIJQ24t1bvXujsRhVjy_yMywGQ,Zeon Charging Station,"8Q8W+73X SS Coco nest, Doddakurubara Halli Dairy Rd, Doddkurbralli",13.3155131,75.7955901
ChIJBQt0hG7ZujsRKSkEF6nHVZc,Ather Grid Charging Station,"Apple Fitness Chikkamagaluru, main rood, Basavanahalli, Chikkamagaluru",13.3294843,75.7745662
ChIJHfnBbS62pDsRYOX37XYrVZY,Ather Grid Charging Station,"X8QJ+QGM, SDMA Society, Gurukula SDMA College PG Centre Campus, Belthangady, near Siddavana, Ujire, Mangaluru",12.989466,75.33131
ChIJEe75Qow8uzsRfTBg1fhhBGo,Ather Charging Station,"NO.541A 36-530-541A/B, MARAVANJI,ROAD, Kadur",13.415674,75.48850000000002
ChIJ37NUKQD7ujsRQYc4ZcWlWgs,Ola Charging Station,"PR4G+PVJ, Arsikere - Shivamogga Main Rd, Rangapura",13.7068081,75.82722439999999
ChIJSyR7XgBJpTsRB8eU1KZs6_8,Jio-bp pulse Charging Station,"242Q+WPR, Boovanahalli, B.Kattihalli",13.0024019,76.1397738
ChIJBaOL71LXujsR78RbEJBx8ig,Jio-bp pulse,"No 1, Milan Enterprises, Milan Theater Road, near Hotel Aadrika, Kadur, Chikkamagaluru",13.3172554,75.771135
ChIJ23hGSZnErzsRl_f08p4h_BQ,Statiq Charging Station,"Right side of, Empire, Kunigal Entrance, nr. to Bengaluru, Bellur",12.997233,76.924401
ChIJxSnqqCvRrzsRwCOU0l5S7As,Charge Zone Charging Station,"Hana Imperial 75 Restaurant, Bangalore Mangalore NH 75, hobli, Thippasandra, Magadi",13.0351122,77.0870956
ChIJKaBjEqLprzsRij-ZKqnMNzM,Statiq Charging Station,"XP6X+WG, Bommana Hally",12.9623023,76.74894599999999
ChIJucHRfa7przsROFI_4xt818E,GLIDA Charging Station,"NH-75, near Bellur cross Toll, gate, Halalu, Nagamangala",12.9662371,76.788623
ChIJNdS-DQbDrzsRA-qas--E5QA,Zeon Charging Station,"XVQF+6Q5 Hotel Mayura Veg, Jaladagere, Yadiyur",12.9880625,76.8744375
ChIJK2mpMgDprzsRnix4StiIgo4,Charge Zone Charging Station,"XQCX+6X8, Chamundeshwari Temple Tirumalapura, Ho) Nagamangala (TQ, Bellur, Irubanahalli",12.9703574,76.80128429999999
ChIJUZccYZsBsDsR0y-PaO8gjVk,Tata Power Charging Station,"7F6V+W7Q, Bandihalli, Tiptur [Rural], Tiptur",13.2624431,76.49316519999999
ChIJ3-YWDQ7DrzsRVg1ySSUCD0s,Zeon Charging Station,"XVQF+4VX, Jaladagere",12.9879968,76.8746922
ChIJj-pFTs5bpTsRiYT6iAQ23Xw,Adani Charging Station,"Indraprastha Pure Veg, NH 75, Near Udayapura Dandiganahalli Hobli, Taluk, Channarayapatna",12.9413291,76.35010830000002
ChIJNR-KtgLDrzsRncm5TS0Of10,Statiq Charging Station,"XVPF+X8Q Infront of the Hotel, Chakenahalli",12.98746,76.873352
ChIJb7eFFHwssDsR_N-cyHbgJMs,BESCOM Charging Station,"Section Office Kyathasandra, NH 4, Kyathasandra, Tumakuru, Kyathasandra",13.3136686,77.14387889999999
ChIJR8a9qy4ssDsRy694mCqw_rg,BESCOM Charging Station,"Shivakumar Swamiji Circle, Dr, Bangalore - Honnavar Hwy, Ward No. 18, Tumkur, Tumakuru",13.3438139,77.1079007
ChIJ3aJuna8AsDsRRX1C3zUjw9k,Electric Vehicle Charging Station,"7F68+737, RTO Office Rd, Vidya Nagar, Tiptur",13.2608219,76.46520360000001
ChIJD0kqiDoksDsROh-yBCM7cYk,BESCOM Charging Station,"8X62+9QR, Subhash nagara, Gubbi Rural, Gubbi",13.3109758,76.95184549999999
ChIJ9VvSC23XrzsR3KaMi_ciwKU,BESCOM Charging Station,"Bescom Section Office, Hebbur",13.1524674,77.030739
